,blue,red,date,blue_score,red_score,winner,winner_name,blue_is_winner,year,blue_win_avg,red_win_avg,blue_won_last_match,red_won_last_match,blue_streak,red_streak,blue_winst_against,red_winst_against,blue_rolling_win_avg_5,red_rolling_win_avg_5,blue_rolling_win_avg_10,red_rolling_win_avg_10
90,Team Liquid,Cloud9,2019-01-26,1,0,blue,Team Liquid,True,2019,0.0,0.0,False,False,0.0,0.0,0,0,0.0,0.0,0.0,0.0
89,100 Thieves,TSM,2019-01-26,0,1,red,TSM,False,2019,0.0,0.0,False,False,0.0,0.0,0,0,0.0,0.0,0.0,0.0
88,CLG,OpTic Gaming,2019-01-26,0,1,red,OpTic Gaming,False,2019,0.0,0.0,False,False,0.0,0.0,0,0,0.0,0.0,0.0,0.0
87,FlyQuest,Golden Guardians,2019-01-26,1,0,blue,FlyQuest,True,2019,0.0,0.0,False,False,0.0,0.0,0,0,0.0,0.0,0.0,0.0
86,Clutch Gaming,Echo Fox,2019-01-26,1,0,blue,Clutch Gaming,True,2019,0.0,0.0,False,False,0.0,0.0,0,0,0.0,0.0,0.0,0.0
84,Cloud9,100 Thieves,2019-01-27,1,0,blue,Cloud9,True,2019,0.0,0.0,False,False,1.0,0.0,0,0,0.0,0.0,0.0,0.0
85,FlyQuest,OpTic Gaming,2019-01-27,1,0,blue,FlyQuest,True,2019,1.0,1.0,True,True,0.0,0.0,0,0,1.0,1.0,1.0,1.0
83,Team Liquid,CLG,2019-01-27,1,0,blue,Team Liquid,True,2019,1.0,0.0,True,False,1.0,0.0,0,0,1.0,0.0,1.0,0.0
82,Clutch Gaming,TSM,2019-01-27,1,0,blue,Clutch Gaming,True,2019,1.0,1.0,True,True,0.0,0.0,0,0,1.0,1.0,1.0,1.0
81,Echo Fox,Golden Guardians,2019-01-27,1,0,blue,Echo Fox,True,2019,0.0,0.0,False,False,0.0,0.0,0,0,0.0,0.0,0.0,0.0
80,Echo Fox,TSM,2019-02-02,0,1,red,TSM,False,2019,0.5,0.5,True,False,0.0,0.0,0,0,0.5,0.5,0.5,0.5
78,100 Thieves,Team Liquid,2019-02-02,0,1,red,Team Liquid,False,2019,0.0,1.0,False,True,0.0,2.0,0,0,0.0,1.0,0.0,1.0
77,FlyQuest,CLG,2019-02-02,0,1,red,CLG,False,2019,1.0,0.0,True,False,0.0,1.0,0,0,1.0,0.0,1.0,0.0
76,Clutch Gaming,OpTic Gaming,2019-02-02,0,1,red,OpTic Gaming,False,2019,1.0,0.5,True,False,0.0,0.0,0,0,1.0,0.5,1.0,0.5
79,Cloud9,Golden Guardians,2019-02-02,1,0,blue,Cloud9,True,2019,0.5,0.0,True,False,0.0,0.0,0,0,0.5,0.0,0.5,0.0
71,Cloud9,CLG,2019-02-03,0,1,red,CLG,False,2019,0.6666666666666666,0.3333333333333333,True,True,0.0,2.0,0,0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
74,Echo Fox,OpTic Gaming,2019-02-03,1,0,blue,Echo Fox,True,2019,0.3333333333333333,0.6666666666666666,False,True,0.0,0.0,0,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
73,Team Liquid,Clutch Gaming,2019-02-03,1,0,blue,Team Liquid,True,2019,1.0,0.6666666666666666,True,False,3.0,0.0,0,0,1.0,0.6666666666666666,1.0,0.6666666666666666
72,TSM,FlyQuest,2019-02-03,0,1,red,FlyQuest,False,2019,0.6666666666666666,0.6666666666666666,True,False,0.0,0.0,0,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
75,Golden Guardians,100 Thieves,2019-02-03,0,1,red,100 Thieves,False,2019,0.0,0.0,False,False,0.0,1.0,0,0,0.0,0.0,0.0,0.0
70,100 Thieves,Clutch Gaming,2019-02-09,1,0,blue,100 Thieves,True,2019,0.25,0.5,True,False,2.0,0.0,0,0,0.25,0.5,0.25,0.5
69,FlyQuest,Team Liquid,2019-02-09,0,1,red,Team Liquid,False,2019,0.75,1.0,True,True,0.0,4.0,0,0,0.75,1.0,0.75,1.0
68,TSM,Cloud9,2019-02-09,0,1,red,Cloud9,False,2019,0.5,0.5,False,False,0.0,1.0,0,0,0.5,0.5,0.5,0.5
67,Echo Fox,CLG,2019-02-09,0,1,red,CLG,False,2019,0.5,0.5,True,True,0.0,0.0,0,0,0.5,0.5,0.5,0.5
66,OpTic Gaming,Golden Guardians,2019-02-09,0,1,red,Golden Guardians,False,2019,0.5,0.0,False,False,0.0,1.0,0,0,0.5,0.0,0.5,0.0
63,Team Liquid,OpTic Gaming,2019-02-10,1,0,blue,Team Liquid,True,2019,1.0,0.4,True,False,5.0,0.0,0,0,1.0,0.4,1.0,0.4
65,FlyQuest,Echo Fox,2019-02-10,0,1,red,Echo Fox,False,2019,0.6,0.4,False,False,0.0,0.0,0,0,0.6,0.4,0.6,0.4
64,Clutch Gaming,Cloud9,2019-02-10,0,1,red,Cloud9,False,2019,0.4,0.6,False,True,0.0,2.0,0,0,0.4,0.6,0.4,0.6
62,TSM,Golden Guardians,2019-02-10,0,1,red,Golden Guardians,False,2019,0.4,0.2,False,True,0.0,0.0,0,0,0.4,0.2,0.4,0.2
61,100 Thieves,CLG,2019-02-10,1,0,blue,100 Thieves,True,2019,0.4,0.6,True,True,0.0,0.0,0,0,0.4,0.6,0.4,0.6
57,100 Thieves,FlyQuest,2019-02-16,0,1,red,FlyQuest,False,2019,0.5,0.5,True,False,0.0,1.0,0,0,0.6,0.4,0.5,0.5
58,Cloud9,Echo Fox,2019-02-16,1,0,blue,Cloud9,True,2019,0.6666666666666666,0.5,True,True,3.0,0.0,0,0,0.8,0.6,0.6666666666666666,0.5
59,Golden Guardians,Team Liquid,2019-02-16,0,1,red,Team Liquid,False,2019,0.3333333333333333,1.0,True,True,0.0,0.0,0,0,0.4,1.0,0.3333333333333333,1.0
60,TSM,OpTic Gaming,2019-02-16,1,0,blue,TSM,True,2019,0.3333333333333333,0.3333333333333333,False,False,1.0,0.0,0,0,0.2,0.2,0.3333333333333333,0.3333333333333333
56,Clutch Gaming,CLG,2019-02-16,0,1,red,CLG,False,2019,0.3333333333333333,0.5,False,False,0.0,0.0,0,0,0.2,0.6,0.3333333333333333,0.5
51,Cloud9,OpTic Gaming,2019-02-17,1,0,blue,Cloud9,True,2019,0.7142857142857143,0.2857142857142857,True,False,4.0,0.0,0,0,0.8,0.2,0.7142857142857143,0.2857142857142857
53,Team Liquid,TSM,2019-02-17,0,1,red,TSM,False,2019,1.0,0.42857142857142855,True,True,0.0,2.0,0,0,1.0,0.4,1.0,0.42857142857142855
